Model,Category,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM
M5,Performance Sedan,Electric,Manual,4.3,119935
M5,Performance Sedan,Electric,Automatic,3.1,148264
X6,SUV-Coupe,Diesel,Manual,3.2,157096
3 Series,Sedan,Electric,Automatic,2.1,147441
X5,SUV,Diesel,Automatic,4.1,102430
X6,SUV-Coupe,Hybrid,Automatic,1.5,82556
5 Series,Sedan,Electric,Automatic,3,160767
7 Series,Sedan,Diesel,Manual,2.2,128594
X1,SUV,Electric,Automatic,4.2,137234
5 Series,Sedan,Petrol,Manual,3.9,163886
i3,Electric Hatchback,Petrol,Automatic,4,52366
7 Series,Sedan,Hybrid,Manual,2,37319
X3,SUV,Electric,Manual,3.8,126957
5 Series,Sedan,Hybrid,Automatic,3.9,192476
M5,Performance Sedan,Petrol,Manual,1.5,44855
X3,SUV,Hybrid,Automatic,2.6,623
M3,Performance Sedan,Petrol,Manual,1.8,109617
3 Series,Sedan,Petrol,Manual,3.9,30204
5 Series,Sedan,Electric,Manual,2.2,14864
i8,Hybrid Sports Car,Petrol,Automatic,2.4,72225
M3,Performance Sedan,Hybrid,Manual,1.8,128297
X6,SUV-Coupe,Diesel,Manual,3.2,80877
3 Series,Sedan,Diesel,Automatic,1.6,284
3 Series,Sedan,Hybrid,Automatic,4.5,33139
7 Series,Sedan,Hybrid,Manual,1.6,148997
i3,Electric Hatchback,Electric,Automatic,1.7,161731
X6,SUV-Coupe,Petrol,Automatic,3.7,153578
3 Series,Sedan,Petrol,Automatic,4.7,23699
3 Series,Sedan,Electric,Automatic,4.6,152914
X3,SUV,Petrol,Manual,1.8,66256
5 Series,Sedan,Diesel,Automatic,2.5,100196
X5,SUV,Hybrid,Automatic,3.3,93274
7 Series,Sedan,Diesel,Manual,1.6,103373
X5,SUV,Diesel,Automatic,3.4,105013
M5,Performance Sedan,Hybrid,Automatic,3.1,22090
X6,SUV-Coupe,Electric,Automatic,3.6,178695
M5,Performance Sedan,Diesel,Manual,4.7,87480
X5,SUV,Electric,Automatic,2.5,161987
X1,SUV,Petrol,Manual,3.7,175460
7 Series,Sedan,Hybrid,Manual,3,82764
i8,Hybrid Sports Car,Hybrid,Manual,3,98718
7 Series,Sedan,Petrol,Manual,3.8,91934
X5,SUV,Hybrid,Manual,4.8,66719
M5,Performance Sedan,Hybrid,Manual,4.5,134567
X3,SUV,Diesel,Manual,3.7,28396
X3,SUV,Petrol,Automatic,3.1,104198
X1,SUV,Hybrid,Manual,3,11576
M5,Performance Sedan,Electric,Manual,4.3,34733
X5,SUV,Electric,Manual,2.3,24369
X1,SUV,Hybrid,Manual,3.6,7792
X5,SUV,Electric,Automatic,3.3,111483
M3,Performance Sedan,Electric,Manual,3.8,67504
i3,Electric Hatchback,Electric,Automatic,2.2,176381
5 Series,Sedan,Hybrid,Manual,3.9,47845
i8,Hybrid Sports Car,Electric,Automatic,3.7,14762
3 Series,Sedan,Diesel,Manual,2.1,59269
X1,SUV,Petrol,Automatic,3.1,181077
X5,SUV,Diesel,Manual,3.9,115997
3 Series,Sedan,Hybrid,Automatic,4.7,156487
X6,SUV-Coupe,Petrol,Automatic,1.9,123371
X5,SUV,Electric,Manual,1.5,90050
7 Series,Sedan,Electric,Manual,2.1,113077
X5,SUV,Hybrid,Automatic,5,109769
5 Series,Sedan,Hybrid,Manual,4.2,57624
X3,SUV,Diesel,Automatic,3.7,101755
X3,SUV,Hybrid,Automatic,2,75390
3 Series,Sedan,Diesel,Automatic,3,170428
3 Series,Sedan,Diesel,Automatic,4,170661
i3,Electric Hatchback,Electric,Automatic,4.6,100904
7 Series,Sedan,Hybrid,Automatic,2.8,39726
7 Series,Sedan,Diesel,Manual,5,27375
M5,Performance Sedan,Hybrid,Automatic,2,179742
X3,SUV,Hybrid,Automatic,2.9,167073
7 Series,Sedan,Diesel,Manual,4.6,170503
i3,Electric Hatchback,Petrol,Manual,3.8,176695
X6,SUV-Coupe,Petrol,Automatic,4.3,170250
X3,SUV,Diesel,Manual,4.7,109637
X5,SUV,Petrol,Automatic,3.3,193097
5 Series,Sedan,Electric,Manual,2.3,152310
X6,SUV-Coupe,Hybrid,Manual,3.9,65475
7 Series,Sedan,Electric,Manual,3.5,21570
M3,Performance Sedan,Electric,Automatic,4.2,62603
X5,SUV,Petrol,Manual,3.3,178108
M5,Performance Sedan,Hybrid,Automatic,4.3,128768
X1,SUV,Hybrid,Manual,4.7,23245
i8,Hybrid Sports Car,Electric,Automatic,4.1,87899
X3,SUV,Hybrid,Manual,4.1,151050
X5,SUV,Petrol,Manual,3.6,155165
M5,Performance Sedan,Hybrid,Manual,3.2,128615
i3,Electric Hatchback,Petrol,Manual,4.9,23169
X5,SUV,Hybrid,Manual,3.8,124155
5 Series,Sedan,Petrol,Manual,4.4,143493
3 Series,Sedan,Electric,Manual,3.3,14115
X6,SUV-Coupe,Diesel,Manual,3.4,641
X5,SUV,Electric,Manual,3.8,125438
5 Series,Sedan,Petrol,Automatic,4,69058
i8,Hybrid Sports Car,Hybrid,Automatic,3.1,186265
X3,SUV,Electric,Manual,2.7,170140
i8,Hybrid Sports Car,Electric,Automatic,2.3,81110
7 Series,Sedan,Diesel,Manual,3,17779
X1,SUV,Diesel,Manual,2.2,159871
7 Series,Sedan,Electric,Automatic,3,89393
3 Series,Sedan,Diesel,Automatic,4.6,129798
5 Series,Sedan,Petrol,Automatic,4.9,190267
M5,Performance Sedan,Diesel,Manual,3.5,148803
M5,Performance Sedan,Diesel,Manual,2,145149
i3,Electric Hatchback,Petrol,Automatic,3,121166
X3,SUV,Diesel,Automatic,3.6,5270
i3,Electric Hatchback,Hybrid,Manual,2.8,71143
5 Series,Sedan,Petrol,Automatic,2.2,194197
X5,SUV,Hybrid,Manual,2.3,155262
X5,SUV,Electric,Automatic,3.2,46311
i3,Electric Hatchback,Hybrid,Automatic,2.3,109873
X6,SUV-Coupe,Electric,Automatic,2.4,79569
X5,SUV,Diesel,Manual,4.6,78845
3 Series,Sedan,Hybrid,Manual,4.2,178533
i8,Hybrid Sports Car,Electric,Automatic,1.7,54872
X5,SUV,Diesel,Automatic,2.6,54319
i3,Electric Hatchback,Electric,Manual,3.4,176383
3 Series,Sedan,Diesel,Manual,1.7,53518
X1,SUV,Petrol,Manual,3.9,166393
7 Series,Sedan,Hybrid,Automatic,2.8,97669
3 Series,Sedan,Petrol,Automatic,2.9,33850
M3,Performance Sedan,Petrol,Automatic,2.4,108776
i8,Hybrid Sports Car,Petrol,Automatic,2.7,23499
i3,Electric Hatchback,Hybrid,Manual,4.5,167759
i8,Hybrid Sports Car,Electric,Automatic,4.3,33177
X5,SUV,Hybrid,Manual,4.8,125862
X5,SUV,Electric,Manual,3.9,24903
i8,Hybrid Sports Car,Petrol,Manual,3.5,1178
i8,Hybrid Sports Car,Hybrid,Automatic,2.4,40154
i8,Hybrid Sports Car,Petrol,Manual,3.8,134770
X6,SUV-Coupe,Hybrid,Manual,4.7,162752
X5,SUV,Electric,Automatic,1.7,23466
X5,SUV,Petrol,Manual,3.1,85416
X1,SUV,Petrol,Manual,2,52924
7 Series,Sedan,Electric,Automatic,4.3,197356
M3,Performance Sedan,Hybrid,Automatic,3.6,55583
3 Series,Sedan,Hybrid,Manual,4.6,103645
X6,SUV-Coupe,Electric,Manual,1.7,114938
3 Series,Sedan,Electric,Manual,4.7,54129
X5,SUV,Diesel,Manual,1.7,196143
i8,Hybrid Sports Car,Hybrid,Automatic,2.5,174598
X3,SUV,Electric,Automatic,2,161337
X6,SUV-Coupe,Petrol,Automatic,2,162414
i8,Hybrid Sports Car,Electric,Automatic,2.1,5764
5 Series,Sedan,Diesel,Automatic,3.2,111713
X3,SUV,Hybrid,Automatic,4.2,189070
3 Series,Sedan,Diesel,Automatic,4.6,179313
X3,SUV,Hybrid,Automatic,3.5,143591
5 Series,Sedan,Hybrid,Manual,2.1,43883
X6,SUV-Coupe,Petrol,Manual,1.8,31775
7 Series,Sedan,Diesel,Manual,3.2,4532
M5,Performance Sedan,Electric,Automatic,4.2,25530
X5,SUV,Diesel,Automatic,3.7,54146
3 Series,Sedan,Electric,Manual,3.5,44184
i3,Electric Hatchback,Electric,Manual,1.7,190438
i3,Electric Hatchback,Diesel,Manual,2.9,48656
5 Series,Sedan,Diesel,Automatic,3.4,143534
X6,SUV-Coupe,Diesel,Manual,3.6,47997
7 Series,Sedan,Electric,Manual,1.5,142754
5 Series,Sedan,Hybrid,Automatic,2.2,126853
7 Series,Sedan,Petrol,Automatic,4.8,169872
M3,Performance Sedan,Diesel,Manual,3.3,165814
i8,Hybrid Sports Car,Diesel,Manual,4,115613
i8,Hybrid Sports Car,Electric,Manual,2.6,105481
X3,SUV,Electric,Automatic,3.5,21186
i8,Hybrid Sports Car,Electric,Manual,2.7,196534
i8,Hybrid Sports Car,Hybrid,Manual,2.5,40145
X3,SUV,Electric,Automatic,2.9,31311
5 Series,Sedan,Diesel,Automatic,3.1,87529
i3,Electric Hatchback,Petrol,Automatic,2.7,120569
7 Series,Sedan,Petrol,Automatic,2.4,79001
X1,SUV,Petrol,Automatic,3.7,126930
5 Series,Sedan,Petrol,Manual,2.8,42320
X3,SUV,Hybrid,Automatic,2.2,133416
i3,Electric Hatchback,Petrol,Manual,4.2,47992
X3,SUV,Diesel,Automatic,4,15032
5 Series,Sedan,Hybrid,Manual,4.6,32044
i8,Hybrid Sports Car,Petrol,Automatic,3.4,133147
X1,SUV,Diesel,Manual,2.5,35219
M3,Performance Sedan,Petrol,Automatic,4.5,170021
3 Series,Sedan,Diesel,Automatic,2.5,96605
X5,SUV,Diesel,Automatic,3.8,153740
7 Series,Sedan,Diesel,Manual,2.2,78732
X1,SUV,Diesel,Automatic,3.7,28250
3 Series,Sedan,Diesel,Manual,4.4,25654
X5,SUV,Hybrid,Automatic,3.4,5715
i8,Hybrid Sports Car,Petrol,Automatic,3.1,35338
X3,SUV,Hybrid,Automatic,5,22384
M5,Performance Sedan,Diesel,Manual,1.6,35736
i8,Hybrid Sports Car,Diesel,Automatic,2.7,84003
X1,SUV,Petrol,Automatic,4.7,103219
i3,Electric Hatchback,Hybrid,Manual,3.7,8866
X5,SUV,Hybrid,Manual,3.4,57368
X3,SUV,Electric,Automatic,3.7,33409
i3,Electric Hatchback,Petrol,Manual,2.6,148913
7 Series,Sedan,Electric,Manual,1.7,8730
X5,SUV,Petrol,Manual,2.5,5041
X6,SUV-Coupe,Hybrid,Manual,2.7,100899
X3,SUV,Diesel,Manual,3.2,161426
7 Series,Sedan,Hybrid,Automatic,2.9,58137
M5,Performance Sedan,Hybrid,Automatic,3.3,75168
M3,Performance Sedan,Electric,Manual,2.2,82819
M3,Performance Sedan,Diesel,Manual,2.1,132801
7 Series,Sedan,Hybrid,Manual,2.7,60573
5 Series,Sedan,Electric,Manual,3.2,4808
X1,SUV,Electric,Manual,2.7,136257
3 Series,Sedan,Hybrid,Automatic,3.5,8375
5 Series,Sedan,Hybrid,Manual,2.6,163061
7 Series,Sedan,Hybrid,Manual,2.1,103933
i8,Hybrid Sports Car,Electric,Manual,4.5,196873
i3,Electric Hatchback,Diesel,Automatic,2.2,149927
X3,SUV,Hybrid,Automatic,4.9,52807
3 Series,Sedan,Diesel,Manual,5,85304
5 Series,Sedan,Petrol,Automatic,3.9,122672
X3,SUV,Diesel,Manual,3.3,184001
i8,Hybrid Sports Car,Diesel,Manual,4.3,101212
X5,SUV,Petrol,Automatic,4.6,146194
7 Series,Sedan,Hybrid,Automatic,4,118727
X1,SUV,Petrol,Automatic,1.9,137199
X1,SUV,Electric,Manual,1.5,50839
i8,Hybrid Sports Car,Diesel,Automatic,2.2,479
X5,SUV,Petrol,Manual,2.2,190981
7 Series,Sedan,Electric,Manual,2.1,129233
i8,Hybrid Sports Car,Electric,Automatic,3.3,71466
3 Series,Sedan,Electric,Automatic,3.3,114252
X3,SUV,Diesel,Automatic,4,149612
M5,Performance Sedan,Electric,Manual,2.2,86143
i3,Electric Hatchback,Diesel,Automatic,1.8,97359
5 Series,Sedan,Petrol,Automatic,3.8,28691
X6,SUV-Coupe,Electric,Automatic,3.2,96002
M5,Performance Sedan,Electric,Manual,3.8,117636
M3,Performance Sedan,Hybrid,Manual,2.8,72550
3 Series,Sedan,Diesel,Automatic,4.1,180904
X1,SUV,Hybrid,Automatic,3.9,28617
i8,Hybrid Sports Car,Petrol,Automatic,3.8,188368
3 Series,Sedan,Diesel,Manual,1.6,14157
5 Series,Sedan,Hybrid,Automatic,4.5,19405
X6,SUV-Coupe,Electric,Manual,2.8,146606
M5,Performance Sedan,Hybrid,Automatic,2,135772
M3,Performance Sedan,Diesel,Automatic,4.1,102596
i3,Electric Hatchback,Petrol,Manual,3.2,125955
i8,Hybrid Sports Car,Hybrid,Automatic,1.6,19295
X6,SUV-Coupe,Electric,Automatic,4.2,72288
X1,SUV,Petrol,Manual,3,47823
7 Series,Sedan,Hybrid,Manual,4.1,146886
3 Series,Sedan,Electric,Manual,4.1,74865
M3,Performance Sedan,Petrol,Manual,1.8,196217
X5,SUV,Petrol,Manual,3.6,19962
3 Series,Sedan,Petrol,Automatic,2.8,103382
5 Series,Sedan,Diesel,Automatic,3.4,62245
5 Series,Sedan,Electric,Manual,1.8,80872
M5,Performance Sedan,Hybrid,Manual,3.6,110799
X5,SUV,Diesel,Manual,4.2,61014
i8,Hybrid Sports Car,Diesel,Manual,5,1255
i8,Hybrid Sports Car,Hybrid,Automatic,2.6,167907
M5,Performance Sedan,Diesel,Automatic,2,60755
X5,SUV,Diesel,Automatic,2.8,97686
X1,SUV,Hybrid,Manual,1.6,169519
X1,SUV,Electric,Automatic,2.9,130509
M3,Performance Sedan,Diesel,Automatic,4.7,133923
i3,Electric Hatchback,Petrol,Manual,2.2,52269
i3,Electric Hatchback,Petrol,Automatic,3.2,160003
M3,Performance Sedan,Diesel,Automatic,3.5,168254
X6,SUV-Coupe,Hybrid,Automatic,2.1,7505
5 Series,Sedan,Hybrid,Manual,2.7,78804
M5,Performance Sedan,Electric,Manual,4.7,125852
X5,SUV,Hybrid,Automatic,2.5,155862
X3,SUV,Electric,Automatic,3.7,47669
3 Series,Sedan,Electric,Automatic,2,42960
3 Series,Sedan,Petrol,Automatic,3.8,59896
3 Series,Sedan,Diesel,Automatic,2.5,87530
3 Series,Sedan,Petrol,Automatic,2.3,74685
X3,SUV,Electric,Automatic,1.9,2929
M3,Performance Sedan,Petrol,Manual,1.7,131858
M5,Performance Sedan,Hybrid,Manual,4.9,107731
7 Series,Sedan,Hybrid,Manual,2.9,163446
5 Series,Sedan,Diesel,Manual,4.2,120124
X6,SUV-Coupe,Hybrid,Manual,4.7,149626
i3,Electric Hatchback,Diesel,Automatic,2.2,158294
M3,Performance Sedan,Petrol,Automatic,4.5,111195
i8,Hybrid Sports Car,Electric,Automatic,4,22261
i3,Electric Hatchback,Electric,Automatic,3.5,133640
i3,Electric Hatchback,Petrol,Manual,4.3,103256
3 Series,Sedan,Diesel,Manual,1.9,194770
X5,SUV,Petrol,Manual,2.4,38490
X5,SUV,Hybrid,Automatic,2,188688
5 Series,Sedan,Electric,Automatic,4.6,78463
M5,Performance Sedan,Hybrid,Automatic,1.8,4932
i3,Electric Hatchback,Diesel,Manual,4.9,9974
i3,Electric Hatchback,Electric,Automatic,1.9,128744
X6,SUV-Coupe,Diesel,Automatic,3.8,87324
i8,Hybrid Sports Car,Petrol,Automatic,3.8,69153
i3,Electric Hatchback,Diesel,Manual,4.8,140583
3 Series,Sedan,Petrol,Manual,2.6,1181
M5,Performance Sedan,Diesel,Automatic,2.7,93723
i3,Electric Hatchback,Petrol,Automatic,4.5,42283
M5,Performance Sedan,Electric,Automatic,4.9,19999
M5,Performance Sedan,Hybrid,Automatic,1.6,10532
5 Series,Sedan,Hybrid,Manual,3.7,22576
X6,SUV-Coupe,Hybrid,Manual,2.4,132317
M5,Performance Sedan,Petrol,Automatic,4,159969
M5,Performance Sedan,Hybrid,Manual,4.2,116285
M3,Performance Sedan,Hybrid,Manual,4.2,196795
M3,Performance Sedan,Diesel,Manual,3,6919
X3,SUV,Hybrid,Automatic,2.1,141400
i8,Hybrid Sports Car,Electric,Automatic,3.5,84086
3 Series,Sedan,Diesel,Automatic,4.3,105825
3 Series,Sedan,Petrol,Manual,4.7,75640
i3,Electric Hatchback,Electric,Automatic,3.1,126717
X1,SUV,Electric,Automatic,2.4,194583
7 Series,Sedan,Diesel,Manual,1.9,17770
i8,Hybrid Sports Car,Hybrid,Automatic,4.3,104030
X6,SUV-Coupe,Petrol,Automatic,3.4,97346
5 Series,Sedan,Petrol,Automatic,3.9,102592
X3,SUV,Electric,Automatic,2.1,45253
3 Series,Sedan,Electric,Automatic,1.5,54569
X3,SUV,Hybrid,Automatic,4.9,60789
X6,SUV-Coupe,Diesel,Manual,4.3,190894
M3,Performance Sedan,Electric,Automatic,2.9,43068
i8,Hybrid Sports Car,Electric,Automatic,3.1,130559
i8,Hybrid Sports Car,Diesel,Automatic,4.8,46662
3 Series,Sedan,Electric,Automatic,2.2,163656
i3,Electric Hatchback,Hybrid,Automatic,4.3,145312
X3,SUV,Diesel,Automatic,1.6,194231
X3,SUV,Diesel,Automatic,4.6,169685
X3,SUV,Petrol,Automatic,3.6,35404
X6,SUV-Coupe,Electric,Automatic,3.2,76465
X1,SUV,Petrol,Manual,4,146726
X6,SUV-Coupe,Petrol,Manual,1.7,176861
i3,Electric Hatchback,Hybrid,Manual,2.2,60584
3 Series,Sedan,Diesel,Manual,2.9,91504
5 Series,Sedan,Diesel,Automatic,3.7,166519
i8,Hybrid Sports Car,Diesel,Manual,2,185130
X5,SUV,Petrol,Manual,2.8,51066
M3,Performance Sedan,Petrol,Automatic,2.4,3377
X6,SUV-Coupe,Diesel,Manual,3.8,143518
X3,SUV,Petrol,Manual,4.7,108410
7 Series,Sedan,Hybrid,Automatic,2.1,141802
X3,SUV,Diesel,Automatic,2.2,54809
i3,Electric Hatchback,Electric,Manual,3.6,4577
i8,Hybrid Sports Car,Petrol,Automatic,3.1,19132
X1,SUV,Petrol,Automatic,4,96688
i3,Electric Hatchback,Hybrid,Automatic,2.5,140801
M3,Performance Sedan,Diesel,Automatic,3.4,49497
i8,Hybrid Sports Car,Petrol,Manual,2.9,134907
i3,Electric Hatchback,Diesel,Automatic,2.5,102509
X6,SUV-Coupe,Petrol,Manual,4.1,136965
M3,Performance Sedan,Hybrid,Automatic,4.3,127205
X5,SUV,Hybrid,Manual,2.7,173971
X3,SUV,Electric,Automatic,3.7,81992
M5,Performance Sedan,Hybrid,Automatic,2.1,31425
i3,Electric Hatchback,Diesel,Manual,4.3,26852
7 Series,Sedan,Petrol,Manual,2.5,199069
3 Series,Sedan,Diesel,Manual,2.1,61600
i8,Hybrid Sports Car,Diesel,Manual,4.8,35993
i8,Hybrid Sports Car,Diesel,Manual,3,100925
3 Series,Sedan,Hybrid,Automatic,3.8,191791
X3,SUV,Electric,Manual,4.3,124024
X5,SUV,Diesel,Manual,3.9,151694
7 Series,Sedan,Diesel,Manual,3.5,71265
i3,Electric Hatchback,Electric,Automatic,2.8,171370
7 Series,Sedan,Hybrid,Automatic,4.7,60814
X1,SUV,Hybrid,Manual,2,50124
5 Series,Sedan,Diesel,Manual,4.6,124473
M5,Performance Sedan,Hybrid,Manual,4,18648
M5,Performance Sedan,Electric,Automatic,3.5,119734
X1,SUV,Hybrid,Automatic,2.6,135887
X1,SUV,Hybrid,Automatic,2,125686
5 Series,Sedan,Electric,Automatic,3.1,147647
3 Series,Sedan,Electric,Manual,4.2,109478
i8,Hybrid Sports Car,Diesel,Automatic,4.1,5673
5 Series,Sedan,Diesel,Automatic,3.8,90698
i8,Hybrid Sports Car,Electric,Automatic,5,100998
X3,SUV,Electric,Manual,4.9,197269
M3,Performance Sedan,Petrol,Automatic,2.9,113961
M3,Performance Sedan,Petrol,Automatic,2.2,51643
X6,SUV-Coupe,Petrol,Automatic,3.1,6157
i8,Hybrid Sports Car,Electric,Automatic,4.5,31668
X3,SUV,Electric,Automatic,3.1,67142
X3,SUV,Petrol,Manual,2.7,156060
X3,SUV,Diesel,Automatic,4.1,32370
i3,Electric Hatchback,Hybrid,Automatic,3.8,52173
X3,SUV,Hybrid,Manual,4.9,9846
X3,SUV,Electric,Manual,3.4,20882
X6,SUV-Coupe,Hybrid,Automatic,4.9,127046
X3,SUV,Hybrid,Manual,2.5,194029
7 Series,Sedan,Petrol,Automatic,4.5,195835
i8,Hybrid Sports Car,Hybrid,Manual,2.7,53909
7 Series,Sedan,Hybrid,Automatic,4.3,151962
i8,Hybrid Sports Car,Electric,Automatic,4.7,158712
X1,SUV,Hybrid,Automatic,3.7,64889
5 Series,Sedan,Diesel,Manual,4,173512
M5,Performance Sedan,Hybrid,Automatic,4.9,1809
X5,SUV,Petrol,Automatic,2.8,115153
3 Series,Sedan,Electric,Manual,3.3,191432
X6,SUV-Coupe,Hybrid,Manual,4.6,181482
3 Series,Sedan,Electric,Automatic,3.9,34922
5 Series,Sedan,Diesel,Automatic,4.6,50144
M5,Performance Sedan,Hybrid,Manual,3.7,117536
X3,SUV,Petrol,Manual,4.1,177930
7 Series,Sedan,Diesel,Automatic,1.5,47865
M3,Performance Sedan,Hybrid,Automatic,2.7,110912
M5,Performance Sedan,Hybrid,Manual,4.2,55754
5 Series,Sedan,Electric,Manual,2.9,65113
5 Series,Sedan,Hybrid,Manual,2.8,40262
X5,SUV,Diesel,Manual,4.8,61601
M3,Performance Sedan,Diesel,Automatic,3.4,177287
X6,SUV-Coupe,Petrol,Manual,2.2,172351
5 Series,Sedan,Diesel,Manual,3.2,58745
5 Series,Sedan,Electric,Manual,3.3,118754
i3,Electric Hatchback,Electric,Manual,5,38087
7 Series,Sedan,Hybrid,Automatic,4,124461
M3,Performance Sedan,Hybrid,Manual,3.3,101522
7 Series,Sedan,Petrol,Automatic,3,56510
X5,SUV,Diesel,Manual,4.7,83751
5 Series,Sedan,Petrol,Automatic,3.8,3194
X1,SUV,Electric,Automatic,2.7,74239
X6,SUV-Coupe,Electric,Automatic,3.1,21035
3 Series,Sedan,Diesel,Automatic,2.5,33619
M5,Performance Sedan,Hybrid,Automatic,4.9,4264
5 Series,Sedan,Electric,Manual,4,4750
7 Series,Sedan,Diesel,Manual,2.9,190864
M3,Performance Sedan,Petrol,Automatic,2.1,69939
M5,Performance Sedan,Petrol,Automatic,2.1,104259
X3,SUV,Petrol,Automatic,3.2,143233
M5,Performance Sedan,Petrol,Automatic,3.1,165778
i8,Hybrid Sports Car,Electric,Automatic,3,19637
M3,Performance Sedan,Petrol,Manual,4.5,111179
7 Series,Sedan,Petrol,Manual,4.9,104269
3 Series,Sedan,Electric,Automatic,2.7,59773
M3,Performance Sedan,Electric,Automatic,2.5,188420
i8,Hybrid Sports Car,Petrol,Manual,4.2,126617
5 Series,Sedan,Hybrid,Manual,3.1,90313
M3,Performance Sedan,Electric,Automatic,2.3,104851
7 Series,Sedan,Hybrid,Manual,2.1,85259
M5,Performance Sedan,Electric,Manual,2.5,67142
X6,SUV-Coupe,Diesel,Manual,1.5,49943
i8,Hybrid Sports Car,Electric,Manual,4.8,47861
5 Series,Sedan,Diesel,Automatic,3,96790
3 Series,Sedan,Diesel,Manual,1.8,158065
i3,Electric Hatchback,Electric,Manual,2.1,155787
X1,SUV,Petrol,Automatic,2.6,193091
M5,Performance Sedan,Hybrid,Automatic,3.4,193795
5 Series,Sedan,Diesel,Automatic,4,186682
M3,Performance Sedan,Electric,Automatic,2.6,28856
5 Series,Sedan,Petrol,Manual,4.9,121532
5 Series,Sedan,Diesel,Manual,4.2,174379
X3,SUV,Electric,Automatic,4.4,132302
5 Series,Sedan,Electric,Manual,2.6,171079
X6,SUV-Coupe,Hybrid,Manual,2.8,143948
5 Series,Sedan,Diesel,Manual,3.4,138833
i8,Hybrid Sports Car,Electric,Manual,3.1,135190
3 Series,Sedan,Electric,Manual,2.4,163765
3 Series,Sedan,Electric,Automatic,5,45976
X6,SUV-Coupe,Petrol,Automatic,4.5,85209
3 Series,Sedan,Diesel,Automatic,2.3,160433
X5,SUV,Diesel,Automatic,4.6,97480
X1,SUV,Petrol,Automatic,3.6,170293
5 Series,Sedan,Hybrid,Automatic,1.5,122126
X1,SUV,Hybrid,Manual,2.7,139953
X5,SUV,Hybrid,Automatic,1.6,81872
M3,Performance Sedan,Electric,Automatic,1.8,18356
X1,SUV,Hybrid,Manual,2.1,174496
i8,Hybrid Sports Car,Diesel,Manual,3.2,49526
i3,Electric Hatchback,Hybrid,Manual,2.8,144018
M3,Performance Sedan,Electric,Manual,2,8243
X5,SUV,Hybrid,Manual,2.9,139708
X5,SUV,Hybrid,Manual,2.6,20133
M5,Performance Sedan,Petrol,Automatic,2.9,197719
X5,SUV,Diesel,Automatic,2.1,29033
X3,SUV,Diesel,Manual,3.6,146010
M5,Performance Sedan,Hybrid,Automatic,1.7,179548
5 Series,Sedan,Diesel,Automatic,2.9,1940
X5,SUV,Electric,Manual,4.6,11995
i8,Hybrid Sports Car,Petrol,Automatic,3,102880
X1,SUV,Petrol,Manual,3,117171
i3,Electric Hatchback,Petrol,Automatic,1.7,108274
X3,SUV,Hybrid,Manual,3.6,3863
M3,Performance Sedan,Diesel,Automatic,4.8,34214
X1,SUV,Electric,Automatic,2.5,26834
X6,SUV-Coupe,Hybrid,Automatic,2.9,2953
X6,SUV-Coupe,Petrol,Automatic,3.6,198048
M3,Performance Sedan,Petrol,Automatic,1.8,33834
5 Series,Sedan,Petrol,Automatic,4.8,108134
M3,Performance Sedan,Hybrid,Manual,3.1,100653
X1,SUV,Electric,Manual,1.9,171774
M3,Performance Sedan,Diesel,Automatic,2.7,194943
3 Series,Sedan,Petrol,Automatic,2.8,160483
X3,SUV,Diesel,Manual,2.7,12605
i3,Electric Hatchback,Electric,Manual,3.9,191602
X3,SUV,Electric,Automatic,2.7,98580
3 Series,Sedan,Electric,Manual,2.6,45972
X1,SUV,Diesel,Automatic,2.6,49678
M3,Performance Sedan,Diesel,Automatic,4.2,17457
X5,SUV,Electric,Manual,2.6,113204
3 Series,Sedan,Electric,Automatic,1.5,154746
M5,Performance Sedan,Electric,Automatic,2.8,92357
X5,SUV,Diesel,Automatic,2.5,28059
7 Series,Sedan,Diesel,Manual,4.7,104592
M3,Performance Sedan,Electric,Manual,3.2,121667
X5,SUV,Petrol,Manual,2.3,56105
7 Series,Sedan,Diesel,Manual,4.9,44286
X1,SUV,Petrol,Manual,2.4,7785
7 Series,Sedan,Petrol,Manual,4.2,176185
5 Series,Sedan,Diesel,Automatic,3.8,132389
M3,Performance Sedan,Diesel,Manual,3.1,141503
X1,SUV,Hybrid,Automatic,2.9,15823
X3,SUV,Diesel,Automatic,4.6,4781
i3,Electric Hatchback,Diesel,Automatic,3.2,22846
i3,Electric Hatchback,Hybrid,Automatic,2.8,168491
i3,Electric Hatchback,Hybrid,Manual,2.7,81447
3 Series,Sedan,Diesel,Automatic,2.5,184330
i3,Electric Hatchback,Electric,Manual,2.9,26204
X6,SUV-Coupe,Hybrid,Automatic,1.9,133502
X5,SUV,Hybrid,Automatic,1.7,151565
7 Series,Sedan,Diesel,Manual,3.4,136535
i3,Electric Hatchback,Diesel,Manual,3.1,92224
7 Series,Sedan,Diesel,Automatic,2.1,132306
X3,SUV,Diesel,Automatic,1.9,55135
X5,SUV,Diesel,Automatic,2,142319
i8,Hybrid Sports Car,Diesel,Manual,2.6,199821
X1,SUV,Electric,Automatic,3.1,169220
M3,Performance Sedan,Petrol,Automatic,2.2,56134
7 Series,Sedan,Hybrid,Automatic,4.1,2430
7 Series,Sedan,Electric,Manual,2.2,55735
5 Series,Sedan,Electric,Automatic,1.9,73680
M3,Performance Sedan,Diesel,Automatic,5,82244
